date,amount,category,description
20-07-2024,125.65,Income,Salary
20-07-2024,125.65,Income,Salary
20-07-2024,125.65,Income,Salary
09-09-2024,125.0,Income,Side Gig
19-07-2024,3000.0,Income,Salary
20-07-2024,125.65,Income,Salary
21-07-2024,50.0,Expense,Groceries
22-07-2024,100.0,Expense,Transport
23-07-2024,300.0,Income,Freelancing
24-07-2024,75.0,Expense,Entertainment
25-07-2024,200.0,Expense,Utilities
26-07-2024,150.0,Income,Consulting
27-07-2024,500.0,Expense,Rent
28-07-2024,60.0,Expense,Dining Out
29-07-2024,125.0,Income,Side Gig
30-07-2024,50.0,Expense,Subscriptions
01-08-2024,400.0,Income,Freelancing
02-08-2024,90.0,Expense,Shopping
03-08-2024,100.0,Income,Investment Return
04-08-2024,45.0,Expense,Transport
05-08-2024,120.0,Expense,Dining Out
06-08-2024,75.0,Expense,Entertainment
07-08-2024,150.0,Income,Consulting
08-08-2024,500.0,Expense,Rent
09-08-2024,60.0,Expense,Groceries
10-08-2024,200.0,Expense,Utilities
11-08-2024,180.0,Expense,Car Maintenance
12-08-2024,600.0,Income,Freelancing
13-08-2024,50.0,Expense,Subscriptions
14-08-2024,250.0,Income,Side Gig
15-08-2024,75.0,Expense,Entertainment
16-08-2024,500.0,Income,Consulting
17-08-2024,90.0,Expense,Groceries
18-08-2024,120.0,Expense,Dining Out
19-08-2024,3000.0,Income,Salary
20-08-2024,50.0,Expense,Transport
21-08-2024,125.0,Income,Side Gig
22-08-2024,80.0,Expense,Shopping
23-08-2024,100.0,Expense,Health
24-08-2024,700.0,Income,Freelancing
25-08-2024,60.0,Expense,Dining Out
26-08-2024,50.0,Expense,Subscriptions
27-08-2024,300.0,Income,Investment Return
28-08-2024,500.0,Expense,Rent
29-08-2024,100.0,Expense,Transport
30-08-2024,75.0,Expense,Entertainment
31-08-2024,150.0,Income,Consulting
01-09-2024,60.0,Expense,Groceries
02-09-2024,125.0,Income,Side Gig
03-09-2024,400.0,Income,Freelancing
04-09-2024,45.0,Expense,Transport
05-09-2024,90.0,Expense,Shopping
06-09-2024,500.0,Expense,Rent
07-09-2024,50.0,Expense,Subscriptions
08-09-2024,100.0,Income,Investment Return
09-09-2024,125.0,Income,Side Gig